candidate,percent_voters,number_voters
Ющенко Віктор Андрійович,39.9,11188675
Янукович Віктор Федорович,39.26,11008731
Мороз Олександр Олександрович,5.82,1632098
Симоненко Петро Миколайович,4.97,1396135
Вітренко Наталія Михайлівна,1.53,429794
Кінах Анатолій Кирилович,0.93,262530
Яковенко Олександр Миколайович,0.78,219191
Омельченко Олександр Олександрович,0.48,136830
Черновецький Леонід Миколайович,0.46,129066
Корчинський Дмитро Олександрович,0.17,49961
Чорновіл Андрій В’ячеславович,0.12,36278
Грабар Микола Федорович,0.07,19675
Бродський Михайло Юрійович,0.05,16498
Збітнєв Юрій Іванович,0.05,16321
Комісаренко Сергій Васильович,0.04,13754
Волга Василь Олександрович,0.04,12956
Бойко Богдан Федорович,0.04,12793
Ржавський Олександр Миколайович,0.03,10714
Рогожинський Микола Володимирович,0.03,10289
Кривобоков Владислав Анатолійович,0.03,9340
Базилюк Олександр Філімонович,0.03,8963
Душин Ігор Леонідович,0.03,8623
Козак Роман Миколайович,0.02,8410
Нечипорук Володимир Павлович,0.02,6171
