candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Богословська І.Г,м.Севастополь,Sevastopilska,2.31,5,204145
Богословська І.Г,Авт.Респ. Крим,Avtonomna Respublika Krym,1.35,6,981922
Богословська І.Г,Донецька,Donetska,0.86,6,2439002
Богословська І.Г,Запорізька,Zaporizka,0.84,8,1010500
Богословська І.Г,Харківська,Kharkivska,0.61,9,1455120
Богословська І.Г,Дніпропетровська,Dnipropetrovska,0.44,10,1833458
Богословська І.Г,Миколаївська,Mykolaivska,0.38,10,601126
Богословська І.Г,Луганська,Luhanska,0.36,8,1313664
Богословська І.Г,Херсонська,Khersonska,0.35,10,538431
Богословська І.Г,Одеська,Odeska,0.3,11,1160126
Богословська І.Г,Полтавська,Poltavska,0.3,13,803708
Богословська І.Г,Чернігівська,Chernihivska,0.28,13,602599
Богословська І.Г,Житомирська,Zhytomyrska,0.27,12,691123
Богословська І.Г,Закарпатська,Zakarpatska,0.25,14,540736
Богословська І.Г,Хмельницька,Khmelnytska,0.23,14,748056
Богословська І.Г,Кіровоградська,Kirovohradska,0.23,12,508754
Богословська І.Г,Черкаська,Cherkaska,0.23,14,681265
Богословська І.Г,Вінницька,Vinnytska,0.22,14,899734
Богословська І.Г,Чернівецька,Chernivetska,0.22,14,434568
Богословська І.Г,м.Київ,Kyiv,0.21,12,1430356
Богословська І.Г,Сумська,Sumska,0.21,13,627338
Богословська І.Г,Київська,Kyivska,0.18,14,944893
Богословська І.Г,Рівненська,Rivnenska,0.14,14,623112
Богословська І.Г,Волинська,Volynska,0.12,14,586568
Богословська І.Г,Тернопільська,Ternopilska,0.08,14,646679
Богословська І.Г,Львівська,Lvivska,0.07,14,1475124
Богословська І.Г,Івано-Франківська,Ivano-Frankivska,0.06,14,774146
Бродський М.Ю,Закарпатська,Zakarpatska,0.11,16,540736
Бродський М.Ю,Хмельницька,Khmelnytska,0.09,17,748056
Бродський М.Ю,м.Київ,Kyiv,0.09,16,1430356
Бродський М.Ю,Житомирська,Zhytomyrska,0.09,16,691123
Бродський М.Ю,Чернігівська,Chernihivska,0.08,16,602599
Бродський М.Ю,Чернівецька,Chernivetska,0.08,15,434568
Бродський М.Ю,Вінницька,Vinnytska,0.08,18,899734
Бродський М.Ю,Черкаська,Cherkaska,0.08,17,681265
Бродський М.Ю,Полтавська,Poltavska,0.07,17,803708
Бродський М.Ю,Херсонська,Khersonska,0.07,16,538431
Бродський М.Ю,Сумська,Sumska,0.07,17,627338
Бродський М.Ю,Київська,Kyivska,0.07,17,944893
Бродський М.Ю,Миколаївська,Mykolaivska,0.06,17,601126
Бродський М.Ю,Івано-Франківська,Ivano-Frankivska,0.06,15,774146
Бродський М.Ю,Кіровоградська,Kirovohradska,0.06,16,508754
Бродський М.Ю,Волинська,Volynska,0.06,17,586568
Бродський М.Ю,Рівненська,Rivnenska,0.06,17,623112
Бродський М.Ю,Тернопільська,Ternopilska,0.05,16,646679
Бродський М.Ю,Одеська,Odeska,0.05,16,1160126
Бродський М.Ю,Харківська,Kharkivska,0.04,17,1455120
Бродський М.Ю,Запорізька,Zaporizka,0.04,16,1010500
Бродський М.Ю,Дніпропетровська,Dnipropetrovska,0.04,17,1833458
Бродський М.Ю,Авт.Респ. Крим,Avtonomna Respublika Krym,0.04,16,981922
Бродський М.Ю,м.Севастополь,Sevastopilska,0.03,17,204145
Бродський М.Ю,Луганська,Luhanska,0.03,15,1313664
Бродський М.Ю,Донецька,Donetska,0.03,16,2439002
Бродський М.Ю,Львівська,Lvivska,0.03,17,1475124
Гриценко А.С,м.Київ,Kyiv,3.09,6,1430356
Гриценко А.С,Черкаська,Cherkaska,2.97,8,681265
Гриценко А.С,Львівська,Lvivska,2.05,7,1475124
Гриценко А.С,Тернопільська,Ternopilska,1.88,7,646679
Гриценко А.С,Чернігівська,Chernihivska,1.78,8,602599
Гриценко А.С,Хмельницька,Khmelnytska,1.52,9,748056
Гриценко А.С,Київська,Kyivska,1.42,9,944893
Гриценко А.С,Сумська,Sumska,1.42,8,627338
Гриценко А.С,Вінницька,Vinnytska,1.3,8,899734
Гриценко А.С,Закарпатська,Zakarpatska,1.19,9,540736
Гриценко А.С,Рівненська,Rivnenska,1.18,9,623112
Гриценко А.С,Дніпропетровська,Dnipropetrovska,1.17,8,1833458
Гриценко А.С,Кіровоградська,Kirovohradska,1.14,8,508754
Гриценко А.С,Полтавська,Poltavska,1.07,9,803708
Гриценко А.С,Херсонська,Khersonska,1.01,8,538431
Гриценко А.С,Івано-Франківська,Ivano-Frankivska,1.0,8,774146
Гриценко А.С,Волинська,Volynska,0.99,9,586568
Гриценко А.С,Одеська,Odeska,0.94,8,1160126
Гриценко А.С,Чернівецька,Chernivetska,0.92,9,434568
Гриценко А.С,Житомирська,Zhytomyrska,0.89,9,691123
Гриценко А.С,Харківська,Kharkivska,0.86,8,1455120
Гриценко А.С,Запорізька,Zaporizka,0.73,9,1010500
Гриценко А.С,Миколаївська,Mykolaivska,0.67,8,601126
Гриценко А.С,м.Севастополь,Sevastopilska,0.53,9,204145
Гриценко А.С,Авт.Респ. Крим,Avtonomna Respublika Krym,0.44,9,981922
Гриценко А.С,Донецька,Donetska,0.35,9,2439002
Гриценко А.С,Луганська,Luhanska,0.31,9,1313664
Костенко Ю.І,Рівненська,Rivnenska,0.71,10,623112
Костенко Ю.І,Хмельницька,Khmelnytska,0.63,10,748056
Костенко Ю.І,Волинська,Volynska,0.53,11,586568
Костенко Ю.І,Тернопільська,Ternopilska,0.45,10,646679
Костенко Ю.І,Вінницька,Vinnytska,0.43,11,899734
Костенко Ю.І,Чернігівська,Chernihivska,0.37,12,602599
Костенко Ю.І,Черкаська,Cherkaska,0.37,11,681265
Костенко Ю.І,Полтавська,Poltavska,0.35,12,803708
Костенко Ю.І,Івано-Франківська,Ivano-Frankivska,0.34,11,774146
Костенко Ю.І,Чернівецька,Chernivetska,0.3,12,434568
