candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Богомолець Ольга Вадимівна,Запорізька,Zaporizka,2.98,9,735764
Богомолець Ольга Вадимівна,Дніпропетровська,Dnipropetrovska,2.68,9,1465139
Богомолець Ольга Вадимівна,Донецька,Donetska,2.6,9,115823
Богомолець Ольга Вадимівна,Одеська,Odeska,2.6,9,836659
Богомолець Ольга Вадимівна,Миколаївська,Mykolaivska,2.53,9,472522
Богомолець Ольга Вадимівна,Луганська,Luhanska,2.41,9,52239
Богомолець Ольга Вадимівна,Херсонська,Khersonska,2.16,9,439332
Богомолець Ольга Вадимівна,Харківська,Kharkivska,2.14,9,1033847
Богомолець Ольга Вадимівна,Рівненська,Rivnenska,2.1,5,614771
Богомолець Ольга Вадимівна,м.Київ,Kyiv,2.09,6,1380012
Богомолець Ольга Вадимівна,Полтавська,Poltavska,1.98,6,761748
Богомолець Ольга Вадимівна,Волинська,Volynska,1.93,5,581796
Богомолець Ольга Вадимівна,Кіровоградська,Kirovohradska,1.92,7,467755
Богомолець Ольга Вадимівна,Київська,Kyivska,1.72,6,996046
Богомолець Ольга Вадимівна,Хмельницька,Khmelnytska,1.71,6,728864
Богомолець Ольга Вадимівна,Житомирська,Zhytomyrska,1.67,6,659335
Богомолець Ольга Вадимівна,Черкаська,Cherkaska,1.66,6,673734
Богомолець Ольга Вадимівна,Сумська,Sumska,1.6,9,570645
Богомолець Ольга Вадимівна,Івано-Франківська,Ivano-Frankivska,1.53,6,796008
Богомолець Ольга Вадимівна,Чернігівська,Chernihivska,1.47,7,557295
Богомолець Ольга Вадимівна,Львівська,Lvivska,1.47,5,1544016
Богомолець Ольга Вадимівна,Чернівецька,Chernivetska,1.46,6,431758
Богомолець Ольга Вадимівна,Закарпатська,Zakarpatska,1.46,8,486273
Богомолець Ольга Вадимівна,Тернопільська,Ternopilska,1.21,6,650087
Богомолець Ольга Вадимівна,Вінницька,Vinnytska,0.94,6,895219
Бойко Юрій Анатолійович,Луганська,Luhanska,1.86,10,52239
Бойко Юрій Анатолійович,Донецька,Donetska,0.69,13,115823
Бойко Юрій Анатолійович,Дніпропетровська,Dnipropetrovska,0.4,14,1465139
Бойко Юрій Анатолійович,Чернівецька,Chernivetska,0.38,12,431758
Бойко Юрій Анатолійович,Запорізька,Zaporizka,0.35,14,735764
Бойко Юрій Анатолійович,Одеська,Odeska,0.32,14,836659
Бойко Юрій Анатолійович,Київська,Kyivska,0.31,12,996046
Бойко Юрій Анатолійович,Миколаївська,Mykolaivska,0.27,14,472522
Бойко Юрій Анатолійович,Харківська,Kharkivska,0.25,14,1033847
Бойко Юрій Анатолійович,Херсонська,Khersonska,0.25,14,439332
Бойко Юрій Анатолійович,Закарпатська,Zakarpatska,0.22,13,486273
Бойко Юрій Анатолійович,Полтавська,Poltavska,0.2,14,761748
Бойко Юрій Анатолійович,Кіровоградська,Kirovohradska,0.17,14,467755
Бойко Юрій Анатолійович,м.Київ,Kyiv,0.15,14,1380012
Бойко Юрій Анатолійович,Сумська,Sumska,0.14,14,570645
Бойко Юрій Анатолійович,Житомирська,Zhytomyrska,0.13,15,659335
Бойко Юрій Анатолійович,Чернігівська,Chernihivska,0.12,14,557295
Бойко Юрій Анатолійович,Черкаська,Cherkaska,0.12,15,673734
Бойко Юрій Анатолійович,Хмельницька,Khmelnytska,0.12,15,728864
Бойко Юрій Анатолійович,Рівненська,Rivnenska,0.1,15,614771
Бойко Юрій Анатолійович,Волинська,Volynska,0.08,15,581796
Бойко Юрій Анатолійович,Вінницька,Vinnytska,0.08,15,895219
Бойко Юрій Анатолійович,Тернопільська,Ternopilska,0.05,15,650087
Бойко Юрій Анатолійович,Львівська,Lvivska,0.04,16,1544016
Бойко Юрій Анатолійович,Івано-Франківська,Ivano-Frankivska,0.04,16,796008
Гриненко Андрій Валерійович,Черкаська,Cherkaska,0.59,10,673734
Гриненко Андрій Валерійович,Тернопільська,Ternopilska,0.57,9,650087
Гриненко Андрій Валерійович,Луганська,Luhanska,0.55,14,52239
Гриненко Андрій Валерійович,Херсонська,Khersonska,0.55,13,439332
Гриненко Андрій Валерійович,Харківська,Kharkivska,0.54,12,1033847
